window_id,start_timestamp_ms,end_timestamp_ms,ax_mean,ax_std,ax_rms,ax_peak,ax_ptp,ay_mean,ay_std,ay_rms,ay_peak,ay_ptp,az_mean,az_std,az_rms,az_peak,az_ptp,acc_mag_mean,acc_mag_std,acc_mag_rms,acc_mag_peak,acc_mag_ptp,gx_mean,gx_std,gx_rms,gx_peak,gy_mean,gy_std,gy_rms,gy_peak,gz_mean,gz_std,gz_rms,gz_peak,gyro_mag_mean,gyro_mag_std,gyro_mag_rms,gyro_mag_peak,sound_peak_mean,sound_peak_std,sound_peak_rms,sound_peak_peak,sound_volts_mean,sound_volts_std,sound_volts_rms,sound_volts_peak,ir_object_mean,ir_object_std,ir_object_min,ir_object_max,ir_object_range,temperature_slope,ir_ambient_mean,ir_ambient_std
0,5944,11197,858.44,79.84163324982774,862.1449530096432,1084.0,624.0,-257.27,70.95313312321028,266.874877049152,584.0,584.0,-13709.59,127.16002477193845,13710.179708523152,14224.0,1080.0,13739.266919692835,126.83954207681045,13739.852392220231,14245.448957474102,1066.1919222691213,85.495,22.58273621596816,88.42722996905421,230.0,344.185,23.367729350538106,344.97733983553184,464.0,98.92,13.92546588089605,99.89537026309077,147.0,369.08462500463736,24.173634091427285,369.87541821537695,502.4549731070437,1319.8575,876.096682560635,1584.1619921901927,5630.0,0.2658625,0.1764478353331375,0.3190873038840624,1.134,30.961350000000003,0.10023062156846058,30.79,31.13,0.33999999999999986,0.0380734818199123,30.562849999999997,0.01663036146046599
1,8651,13927,861.12,89.93523002694774,865.8036728958823,1228.0,768.0,-252.79,94.42571630652319,269.8499583101691,1252.0,1332.0,-13710.06,178.56224796972063,13711.222763852975,14552.0,2112.0,13740.034916096947,177.496998388106,13741.181342228187,14572.157561596705,2082.2557205092417,86.625,37.08792761802687,94.23059481930484,366.0,345.9325,50.62334386179957,349.61695825574594,790.0,98.8375,14.309825077547245,99.86802541354264,147.0,372.7280609040157,46.46329319723611,375.6128924837379,806.1253004341198,1090.3075,718.2771874031292,1305.638756509625,4228.0,0.21962,0.14467309908894604,0.26298906821387086,0.852,31.054449999999996,0.06812633484930726,30.93,31.13,0.1999999999999993,0.026535253980288206,30.576499999999996,0.017791609072353325
2,11269,16717,858.46,78.72806615178605,862.0624571340525,1228.0,644.0,-249.04,93.92528094182099,266.16325817061977,1252.0,1448.0,-13715.47,166.00770795357667,13716.47461558545,14552.0,2112.0,13745.124949283409,164.9562626478671,13746.114739809209,14572.157561596705,2082.2557205092417,87.3325,35.67172470949506,94.3368300294217,366.0,346.4025,54.28084831457593,350.6295801839885,790.0,98.985,12.782987718057152,99.80698873325454,132.0,373.35367625720437,49.08164040892155,376.56603006644133,806.1253004341198,882.15,551.1569808139964,1040.1743315425545,3736.0,0.17768,0.11102559434652895,0.2095157869946797,0.753,31.0146,0.0781462731037122,30.87,31.13,0.259999999999998,-0.04405286343612306,30.595599999999994,0.014939812414734636
3,14000,19432,854.08,65.44427858873532,856.5836795083128,1152.0,472.0,-245.78,76.49125178737762,257.4076921927548,664.0,880.0,-13722.62,234.86833673358356,13724.629787356744,16084.0,4820.0,13751.757476011422,233.71658256096276,13753.743385711397,16101.890572227847,4776.330806812275,84.2375,54.372475516110164,100.26127118683465,573.0,342.35,65.4118299698151,348.54301025841846,811.0,97.9775,12.981987280459027,98.83381253397037,134.0,373.2018519249804,44.97835834893287,375.90248070477,870.9885188680732,835.4125,594.6687038542973,1025.4486396207271,6971.0,0.16824999999999998,0.11979804881549615,0.20654209014145278,1.404,30.957449999999998,0.05917345266249029,30.87,31.07,0.1999999999999993,-0.011045655375552046,30.6075,0.013273676061681958
4,16789,22132,852.01,67.23183695244389,854.6585049012266,1152.0,472.0,-247.38,69.55929556860104,256.9734616648186,428.0,644.0,-13727.69,239.87968630127898,13729.78568660123,16084.0,4820.0,13756.684626738888,238.99707204475297,13758.760537199563,16101.890572227847,4776.330806812275,81.005,57.57260611610351,99.38015395439876,573.0,339.705,62.30744718731461,345.3718358523173,811.0,97.43,13.116977548200653,98.30900263963622,134.0,370.10970427122743,42.913713475584494,372.5892913114922,870.9885188680732,761.1175,579.1110288137759,956.3835174761222,6971.0,0.15328499999999998,0.11667589200430396,0.19263840478990682,1.404,30.98635,0.0653427693015838,30.87,31.07,0.1999999999999993,0.018716077110237296,30.61465,0.022508756302286145
5,19504,24922,850.82,77.18009847104369,854.3134319440377,1260.0,780.0,-252.53,80.2645569351753,264.9788670818864,896.0,1208.0,-13727.18,226.99561141132222,13729.0566959278,15680.0,3964.0,13756.308514701766,225.9182337566998,13758.163503898331,15696.71048341021,3953.5184131083715,82.3825,32.60063179985934,88.59840574186423,256.0,343.89,36.00295682301663,345.7694969195519,750.0,97.9975,14.11426561143016,99.00869911275473,133.0,368.6721813076305,35.91333637903265,370.41725796728207,762.0662700841706,720.7975,581.8512150831602,926.3368029502013,6133.0,0.1451725,0.1171914149746047,0.1865713871417587,1.235,31.002650000000003,0.046335488558987364,30.91,31.07,0.16000000000000014,-0.0036913990402368266,30.619300000000003,0.020112714964871433
6,22205,27637,866.77,118.09812487927147,874.7784862466613,1260.0,780.0,-266.84,129.53831247935878,296.6205657064257,1248.0,1560.0,-13712.95,347.6819487692739,13717.356904301936,15680.0,3964.0,13744.093336043106,344.9637229268404,13748.421785790542,15696.71048341021,3953.5184131083715,83.3125,65.3635589893176,105.89318911053722,795.0,347.2925,67.03955506825803,353.7038061712087,750.0,98.6275,16.83296598196527,100.05364810940179,154.0,377.09145609620015,64.28465010597428,382.53167515906443,963.4910482199614,852.5775,771.0222363808647,1149.505842742872,6133.0,0.1717275,0.1552819636781748,0.23152283364713727,1.235,30.991500000000002,0.02162752875388283,30.97,31.05,0.08000000000000185,0.0,30.629800000000003,0.020469673148270442
7,25013,30372,867.63,136.51220861153774,878.3037060151802,1336.0,1112.0,-263.37,174.14856617267912,315.7395762333255,1248.0,2184.0,-13722.94,610.5529922946902,13736.515467905243,19656.0,10708.0,13754.716382479228,608.8869497349667,13768.186739000892,19699.84202982349,10671.069355755324,78.1525,111.08406386043859,135.82150971035477,1002.0,341.795,118.59668197297934,361.78584134816555,886.0,98.5125,16.779894032740494,99.93136394546009,154.0,386.5228804002823,99.6133421137403,399.152546027205,1062.023069429285,857.8775,943.8966482055913,1275.497819480692,5915.0,0.17279499999999998,0.19011969381155652,0.25691167743020166,1.191,30.9639,0.03462354690091667,30.91,31.01,0.10000000000000142,-0.011196118678857758,30.646600000000007,0.02230883705006541
8,27711,33182,848.88,107.70638606879352,855.685643212506,1336.0,1112.0,-248.27,140.82857345013474,285.430692112814,1184.0,2120.0,-13740.28,546.8190940338495,13751.156518635078,19656.0,10708.0,13769.882020541927,546.189839118419,13780.710221175104,19699.84202982349,10671.069355755324,77.3675,93.76346539964274,121.56199035882885,1002.0,339.7575,103.4917566463629,355.16996283469695,886.0,100.535,14.73715627249708,101.60939917153334,146.0,379.799504828332,83.66496358783552,388.9055026609935,1062.023069429285,808.8625,825.619360597697,1155.8139437210473,5915.0,0.1629325,0.1663016775133372,0.2328159090354437,1.191,30.941300000000002,0.048252564698676614,30.87,31.05,0.17999999999999972,0.014622555291537534,30.658100000000005,0.02134312118822334
9,30445,35867,839.41,73.14213491551911,842.5906004697655,1060.0,432.0,-250.07,69.13866573777658,259.45165252894424,424.0,636.0,-13734.28,156.14404119273973,13735.167566506061,15308.0,2588.0,13762.546191278008,156.28337384116128,13763.433516386818,15339.788264510042,2591.1958716221125,82.4675,28.343058122757327,87.20216453735537,215.0,344.02,24.72336142194261,344.9072411533281,510.0,101.01,14.068223057657281,101.98497438348454,144.0,369.33794069216447,23.57208232785526,370.0893912286598,543.5052897626664,807.24,455.23626547101895,926.7558874914148,4329.0,0.1626225,0.0917006815337269,0.18669518606541521,0.872,30.955150000000003,0.04841980483232003,30.87,31.05,0.17999999999999972,0.0073773515308002855,30.671800000000008,0.020635516989005412
