window_id,start_timestamp_ms,reconstruction_error,fingerprint_distance,anomaly_score,similarity_score,status,vibration_pct,acoustic_pct,thermal_pct,top_contributing_features
0,5944,0.30221782155936217,11.551845340479021,2.816679398512572,52.3997857620899,HEALTHY,12.0,13.2,74.8,"ir_object_range (29.8%), temperature_slope (20.2%), ir_object_std (17.2%)"
1,8651,0.2246602882006929,10.471924049221448,2.1031600357211704,64.45784055870726,HEALTHY,42.8,43.1,14.1,"sound_peak_peak (15.8%), sound_volts_peak (13.5%), ay_peak (9.8%)"
2,11269,0.3776672582222775,8.931741303102575,3.150276046630218,46.76219991265522,ANOMALY,33.9,17.7,48.3,"temperature_slope (40.0%), sound_peak_peak (10.0%), sound_volts_peak (6.1%)"
3,14000,0.21114346382099344,15.100452996652749,2.451900658011679,58.56433051164387,HEALTHY,24.3,36.2,39.5,"temperature_slope (28.3%), sound_peak_peak (9.5%), sound_volts_peak (9.2%)"
4,16789,0.18219775166181934,15.592454302630886,2.273513962960198,61.57896004531649,HEALTHY,39.1,44.4,16.5,"sound_peak_peak (17.2%), sound_volts_peak (15.8%), ir_ambient_std (9.2%)"
5,19504,0.13235700540654682,14.011334350270051,1.7278526800434544,70.80031267135053,HEALTHY,44.1,20.8,35.1,"temperature_slope (27.8%), gx_peak (18.8%), sound_volts_peak (5.4%)"
6,22205,0.30108805479805256,14.954349751183926,3.1420202102925914,46.90171865894621,ANOMALY,63.0,2.3,34.7,"ir_object_std (16.5%), az_std (10.2%), acc_mag_peak (8.8%)"
7,25013,0.17988633983241945,28.0709868128021,3.4810351852072743,41.1725662945272,ANOMALY,56.7,23.5,19.8,"gx_peak (19.6%), gyro_mag_peak (8.4%), temperature_slope (8.3%)"
8,27711,0.12477847506827416,27.85272722953792,3.027978775392468,48.82895139125901,ANOMALY,71.8,8.2,20.1,"gx_peak (20.8%), gyro_mag_peak (8.7%), ir_object_range (6.6%)"
9,30445,0.15553610677293944,11.418205838840157,1.6547038581394107,72.03648445423853,HEALTHY,42.9,30.0,27.1,"az_peak (13.2%), sound_peak_std (12.2%), ir_ambient_std (12.1%)"
10,33254,0.22439771148294044,12.433200165893084,2.2937373881199385,61.23719613326589,HEALTHY,25.3,32.4,42.3,"temperature_slope (30.4%), sound_peak_peak (10.5%), sound_volts_peak (9.9%)"
11,35939,0.1967218169517013,12.505359305385173,2.0840599004989384,64.78062153585056,HEALTHY,72.3,12.9,14.8,"gx_peak (16.2%), ax_peak (15.4%), ax_ptp (14.1%)"
12,38664,0.3405300151557779,30.53056671588007,4.980815222381301,15.827171601427281,ANOMALY,63.6,12.1,24.3,"gx_peak (23.4%), temperature_slope (16.9%), gyro_mag_peak (13.8%)"
13,41470,0.31018051730689655,30.541104168369795,4.74414497277746,19.826758700630542,ANOMALY,81.0,4.9,14.1,"gx_peak (24.5%), gyro_mag_peak (14.8%), ir_ambient_std (10.0%)"
14,44150,0.17537789338261847,11.94405182257232,1.8617578235212935,68.53739502425546,HEALTHY,61.0,18.8,20.1,"gx_peak (29.1%), sound_peak_peak (8.4%), sound_volts_peak (8.1%)"
15,46829,0.0478123738851218,9.272801960750343,0.6002646343459548,89.85588306237591,HEALTHY,38.2,9.3,52.5,"ir_object_std (23.0%), ax_mean (8.4%), ir_object_mean (8.4%)"
16,49641,0.09903094344643472,9.17457736531191,0.9917744108838054,83.23959962973561,HEALTHY,21.2,12.6,66.1,"temperature_slope (55.5%), sound_volts_std (4.1%), sound_peak_std (3.9%)"
17,52299,0.03376615485770019,6.767684978582158,0.24420171837848298,95.87313553746301,HEALTHY,25.6,4.6,69.8,"temperature_slope (49.5%), ir_object_std (8.2%), ir_object_max (5.2%)"
18,55019,0.007423017731810852,7.100548413437435,0.21063920828659027,96.4403220875474,HEALTHY,45.7,20.8,33.5,"temperature_slope (21.8%), sound_peak_std (9.2%), ax_ptp (7.4%)"
19,57799,0.012187282233974799,7.654384387610834,0.26503623836047957,95.52104448471106,HEALTHY,31.1,45.3,23.6,"sound_peak_peak (18.7%), sound_volts_peak (17.9%), ir_ambient_mean (11.6%)"
20,60519,0.05219867879876382,9.852616332578021,0.6915679180351764,88.31291162355093,HEALTHY,21.1,55.8,23.1,"sound_volts_std (15.6%), sound_peak_std (12.4%), ir_object_std (9.1%)"
21,63229,0.08403315265959478,9.73068671537238,0.9289280993702997,84.30166508655864,HEALTHY,18.6,55.3,26.1,"sound_volts_std (14.8%), ir_object_std (13.9%), sound_peak_std (11.2%)"
22,66040,0.03186203923872676,6.882469028323414,0.24056212177523317,95.93464256525814,HEALTHY,8.7,60.7,30.6,"sound_volts_peak (24.0%), sound_peak_peak (20.6%), temperature_slope (16.4%)"
23,68713,0.026505268006292885,8.15172812106748,0.32327141882521543,94.5369044126217,HEALTHY,17.3,46.6,36.1,"sound_volts_peak (19.8%), sound_peak_peak (15.0%), ir_ambient_mean (9.8%)"
24,71504,0.027487555702557138,7.551012854459381,0.27196350199833036,95.40397783047332,HEALTHY,21.0,26.2,52.8,"ir_object_range (16.9%), ir_ambient_mean (11.3%), ir_object_min (9.8%)"
25,74209,0.027160931542289088,7.598332599665077,0.2740529781489708,95.36866692058845,HEALTHY,25.5,34.7,39.8,"ir_ambient_mean (16.6%), sound_volts_peak (11.1%), sound_peak_peak (8.4%)"
26,76889,0.048355223178203594,7.215430267039546,0.40244407093857065,93.19893346556631,HEALTHY,8.9,51.9,39.2,"sound_volts_peak (21.4%), sound_peak_peak (19.8%), ir_ambient_mean (15.6%)"
27,79599,0.0442278693754273,5.553146690101664,0.20685027989097718,96.50435273422254,HEALTHY,15.9,44.0,40.0,"sound_volts_peak (14.9%), sound_peak_peak (13.3%), ir_object_std (11.9%)"
28,82408,0.041617527268988735,5.361491794845311,0.1675813081651406,97.16797510744661,HEALTHY,31.7,41.7,26.6,"sound_peak_peak (18.3%), ir_ambient_mean (17.5%), sound_volts_peak (12.8%)"
29,85094,0.02622597474092468,6.1865167055664845,0.12806347885446062,97.83580302652,HEALTHY,36.7,7.1,56.2,"temperature_slope (21.5%), ir_object_std (16.6%), ir_object_range (7.8%)"
30,87909,0.02020899333798087,6.804242235479837,0.18153641102338416,96.93214213117133,HEALTHY,19.8,32.8,47.4,"temperature_slope (18.0%), ir_object_range (14.1%), sound_volts_peak (10.4%)"
31,90619,0.02901105865798,5.593379464257236,0.09161983821123029,98.45167897716715,HEALTHY,28.4,37.5,34.1,"sound_peak_peak (18.5%), ir_ambient_mean (14.5%), sound_volts_peak (13.9%)"
32,93418,0.04493923359749736,6.114035589406955,0.26751162994770444,95.47921183242664,HEALTHY,18.7,10.4,70.9,"temperature_slope (40.2%), ir_object_std (26.5%), ax_peak (5.8%)"
33,96129,0.008930643246584883,7.011268800678075,0.2018702838997183,96.58851171810015,HEALTHY,58.1,32.1,9.8,"ax_peak (26.7%), sound_volts_std (14.6%), sound_peak_std (12.8%)"
34,98830,0.05138855333665355,6.474562494204511,0.35343486433999427,94.02716004149617,HEALTHY,13.5,36.2,50.3,"ir_object_std (20.4%), sound_volts_peak (17.4%), temperature_slope (17.0%)"
35,101674,0.01920160907378817,6.087104516286466,0.11110010154329866,98.12247406002001,HEALTHY,27.7,6.1,66.1,"ir_object_std (49.2%), temperature_slope (6.6%), ir_object_range (5.9%)"
