timestamp_us,ax,ay,az,gx,gy,gz
5683310,1088,-4,-13192,138,287,114
5685910,1088,-4,-13192,138,287,114
5690712,852,-32,-13920,162,268,91
5695512,768,-112,-13824,102,191,121
5701412,596,-148,-13612,156,225,126
5706312,916,-244,-12984,111,328,103
5711112,772,-372,-13432,96,415,75
5797511,752,-344,-13796,70,364,113
5801311,696,-68,-13736,56,270,92
5806211,760,12,-13264,76,336,100
5811011,928,12,-13276,86,319,92
5815811,880,76,-13416,66,419,75
5820611,884,100,-13696,76,421,92
5825411,944,4,-13776,121,381,81
5835312,924,16,-13600,102,279,111
5836812,924,16,-13600,102,279,111
5840612,764,-160,-13684,160,247,89
5845412,560,-192,-13784,160,231,107
5851412,832,-316,-13580,84,289,113
5856212,772,-396,-13288,70,368,80
5925612,712,-288,-13632,102,272,103
5930512,736,-380,-13580,98,362,120
5935412,824,-360,-13480,96,429,125
5941312,896,-244,-13736,74,415,100
5946112,728,-208,-13820,56,319,118
5950912,896,-24,-13344,103,337,98
6033912,952,0,-13348,87,358,103
6035412,952,0,-13348,87,358,103
6041412,864,8,-13484,85,393,70
6046312,1052,56,-13636,136,386,98
6051112,952,36,-13560,115,311,75
6055912,864,4,-13384,132,300,118
6060712,812,-48,-13404,135,255,86
6065512,704,-140,-13676,139,284,111
6071412,628,-256,-13776,110,247,103
6076312,664,-320,-13608,123,361,117
6081112,860,-356,-13440,91,365,89
6085912,844,-264,-13668,94,411,83
6090712,740,-184,-13840,90,377,96
6095512,724,-136,-13764,70,320,126
6164712,884,-264,-13656,94,373,82
6166312,884,-264,-13656,94,373,82
6171112,784,-160,-13616,88,302,116
6175912,920,-84,-13472,73,338,105
6261211,956,96,-13332,101,365,99
6266111,956,84,-13484,100,358,86
6270911,904,76,-13632,113,353,82
6275711,908,-100,-13692,127,309,105
6280511,928,-64,-13672,116,253,102
6286411,644,-76,-13440,152,253,124
6291211,752,-292,-13400,148,291,119
6296011,660,-292,-13644,103,309,96
6300911,704,-340,-13532,110,344,88
6305711,756,-328,-13468,93,355,83
6310511,820,-228,-13380,91,352,72
6316411,804,-216,-13768,99,371,106
6321211,828,-128,-13660,67,324,98
6326011,700,-28,-13708,74,324,106
6342912,844,84,-13504,114,374,112
6345512,872,-132,-13816,120,321,102
6415510,992,-36,-13572,87,357,112
6439512,664,-232,-13720,135,310,94
6441012,664,-232,-13720,135,310,94
6533212,724,-212,-13496,98,359,84
6536012,864,-248,-13480,81,344,83
6540812,900,-92,-13684,83,351,84
6545612,848,-52,-13768,88,323,97
6550412,796,-44,-13484,72,325,100
6556312,880,-64,-13364,67,342,118
6561112,972,12,-13476,118,373,71
6565912,848,-24,-13632,108,347,99
6570812,1008,-44,-13616,133,346,111
