timestamp_ms,object_temp_c,ambient_temp_c
5826,26.21,26.73
6334,26.27,26.73
6834,26.29,26.73
7400,26.21,26.73
7901,26.23,26.77
8379,26.29,26.73
8897,26.29,26.77
9398,26.21,26.71
9838,26.27,26.77
10327,26.11,26.73
10827,26.05,26.73
11330,26.21,26.79
11827,26.29,26.73
12418,26.29,26.73
12859,26.31,26.79
13349,26.21,26.79
13855,26.21,26.73
14340,26.17,26.77
14869,26.21,26.73
15389,26.27,26.79
15826,26.03,26.79
16331,25.97,26.79
16827,25.99,26.77
17338,25.93,26.77
17827,26.03,26.77
18336,26.09,26.77
18878,26.05,26.73
19363,25.99,26.77
19871,25.91,26.77
20369,25.99,26.77
20881,25.99,26.77
21389,25.99,26.77
21827,26.03,26.73
22331,25.97,26.71
22845,26.03,26.77
23351,26.03,26.77
23882,26.03,26.73
24389,26.05,26.73
24827,26.11,26.73
25327,26.03,26.77
25842,25.99,26.73
26337,26.09,26.71
26949,26.03,26.77
27364,25.91,26.73
27892,25.79,26.73
28396,25.79,26.73
28909,26.11,26.71
29334,26.11,26.71
29827,26.05,26.69
30334,25.97,26.73
