timestamp_ms,ir_ambient_c,ir_object_c,sound_peak,sound_volts,ax,ay,az,gx,gy,gz,mx,my,mz
5683,26.73,26.21,0,0.0,1088,-4,-13192,138,287,114,0,0,0
5685,26.73,26.21,802,0.162,1088,-4,-13192,138,287,114,0,0,0
5690,26.73,26.21,2089,0.421,852,-32,-13920,162,268,91,0,0,0
5695,26.73,26.21,1530,0.308,768,-112,-13824,102,191,121,0,0,0
5701,26.73,26.21,1806,0.364,596,-148,-13612,156,225,126,0,0,0
5706,26.73,26.21,1520,0.306,916,-244,-12984,111,328,103,0,0,0
5711,26.73,26.21,1114,0.224,772,-372,-13432,96,415,75,0,0,0
5797,26.73,26.21,2458,0.495,752,-344,-13796,70,364,113,0,0,0
5801,26.73,26.21,2276,0.458,696,-68,-13736,56,270,92,0,0,0
5806,26.73,26.21,1397,0.281,760,12,-13264,76,336,100,0,0,0
5811,26.73,26.21,2350,0.473,928,12,-13276,86,319,92,0,0,0
5815,26.73,26.21,5028,1.013,880,76,-13416,66,419,75,0,0,0
5820,26.73,26.21,3498,0.705,884,100,-13696,76,421,92,0,0,0
5825,26.73,26.21,3852,0.776,944,4,-13776,121,381,81,0,0,0
5835,26.73,26.21,1521,0.306,924,16,-13600,102,279,111,0,0,0
5836,26.73,26.21,223,0.045,924,16,-13600,102,279,111,0,0,0
5840,26.73,26.21,1720,0.346,764,-160,-13684,160,247,89,0,0,0
5845,26.73,26.21,1722,0.347,560,-192,-13784,160,231,107,0,0,0
5851,26.73,26.21,1546,0.311,832,-316,-13580,84,289,113,0,0,0
5856,26.73,26.21,3105,0.625,772,-396,-13288,70,368,80,0,0,0
5925,26.73,26.21,2787,0.561,712,-288,-13632,102,272,103,0,0,0
5930,26.73,26.21,1538,0.31,736,-380,-13580,98,362,120,0,0,0
5935,26.73,26.21,3307,0.666,824,-360,-13480,96,429,125,0,0,0
5941,26.73,26.21,2700,0.544,896,-244,-13736,74,415,100,0,0,0
5946,26.73,26.21,2342,0.472,728,-208,-13820,56,319,118,0,0,0
5950,26.73,26.21,1178,0.237,896,-24,-13344,103,337,98,0,0,0
6033,26.73,26.21,1261,0.254,952,0,-13348,87,358,103,0,0,0
6035,26.73,26.21,803,0.162,952,0,-13348,87,358,103,0,0,0
6041,26.73,26.21,1561,0.314,864,8,-13484,85,393,70,0,0,0
6046,26.73,26.21,1462,0.294,1052,56,-13636,136,386,98,0,0,0
6051,26.73,26.21,1295,0.261,952,36,-13560,115,311,75,0,0,0
6055,26.73,26.21,3581,0.721,864,4,-13384,132,300,118,0,0,0
6060,26.73,26.21,2620,0.528,812,-48,-13404,135,255,86,0,0,0
6065,26.73,26.21,1011,0.204,704,-140,-13676,139,284,111,0,0,0
6071,26.73,26.21,1449,0.292,628,-256,-13776,110,247,103,0,0,0
6076,26.73,26.21,2373,0.478,664,-320,-13608,123,361,117,0,0,0
6081,26.73,26.27,1856,0.374,860,-356,-13440,91,365,89,0,0,0
6085,26.73,26.27,1076,0.217,844,-264,-13668,94,411,83,0,0,0
6090,26.73,26.27,1011,0.204,740,-184,-13840,90,377,96,0,0,0
