timestamp_us,audio_adc
5452119,11804
5485218,7605
5486712,8621
5487969,4465
5489112,1923
5490212,22
5491712,1090
5492812,3446
5493912,2347
5495012,5361
5496512,3772
5497612,10278
5498712,7262
5499812,0
5501312,8238
5502412,9497
5503512,4343
5504612,6866
5506112,6534
5507212,4429
5508312,5329
5509412,54
5510912,8187
5512012,5829
5513112,9150
5514212,7013
5515312,7827
5516912,9808
5518012,12191
5519112,9053
5520212,12192
5521712,8837
5522812,1839
5523912,3974
5525012,0
5526512,1560
5527612,28
5528712,5594
5548812,4987
5630410,6233
5631910,5831
5633010,5539
5634210,7340
5635310,3685
5636812,5547
5637912,1142
5639012,3773
5640112,1380
5641612,5588
5642712,8082
5643812,9778
5644912,8846
5646412,9608
5647512,9377
5648612,1744
5649712,5202
5651312,2787
5652412,7401
5653512,4294
5654612,2004
5656112,6599
5657212,7911
5658312,5170
5659412,9622
5742912,6985
5744410,8491
5746012,1287
5747212,3285
5748312,22
5749412,6043
5750912,3198
5752012,4179
5753112,12164
5754212,12201
5755312,10870
5756812,3902
5757912,1916
5759012,5216
5760112,4923
5761612,4206
5762712,4015
5763812,8177
5764912,3375
5766412,11200
5767512,9116
5768612,8514
5769712,8415
5771312,6636
5772412,6306
5773512,10563
5774612,9244
5776112,7675
5777212,5543
5778312,4839
5779412,4484
5780912,4957
5782012,6570
5783112,7648
5784212,6447
5785312,4317
5786812,12217
5787912,9787
5789012,11324
5790112,5581
5791612,8970
5792712,12194
5793812,4390
5794912,2942
5796412,5371
5797512,5168
5798612,612
5799712,5231
5874910,7632
5876410,5282
5877510,9711
5878710,9202
5879810,7210
5881312,9691
5882412,5586
5883512,9319
5884612,3856
5886112,7012
5887212,3761
5888312,4957
5889412,3021
5890912,5869
5892012,6234
5893112,3256
5977410,2869
5989612,789
5991112,1214
5992212,6177
5993312,3320
5994412,7259
5995912,7670
5997012,4313
5998112,3311
5999212,2192
6000312,6095
6001812,7786
6002912,4241
6004012,12207
6005112,12169
6006612,7283
6007712,9973
6008812,1974
6009912,1374
6011412,1642
6012512,3697
6013612,7512
6014712,6010
6016212,4466
6017312,12194
6018412,6896
6019512,5512
6021012,8992
6022112,12178
6023212,6601
6024312,12203
6025412,6080
6027012,9976
6028112,6066
6029212,4341
6030312,2401
6031812,1420
6032912,4234
6034012,8020
6035112,278
6036612,6976
6037712,6563
6038812,5071
6039912,11799
6041412,3577
6042512,12220
6043612,7156
6044712,5222
6046212,8593
6047312,1178
6048412,0
6049512,6234
6051012,1991
6052112,708
6053212,4148
6054312,3008
6055412,9906
6056912,2021
6058012,12187
6059112,5781
6060212,9820
6133110,9203
6134711,5116
6136211,23
6219812,6309
6221312,12203
6222412,12199
6223512,8560
6224712,3257
6226312,30
6227412,33
6228512,0
6229612,28
6231112,6053
6232212,12201
6233312,6319
6234412,12200
6235912,8372
6237012,9230
6238112,5737
6239212,12179
6240312,12174
6241812,12182
6242912,5916
6244012,7605
6245112,268
6246612,1759
6247712,1286
6248812,2589
6249912,11700
