window_id,start_timestamp_ms,end_timestamp_ms,ax_mean,ax_std,ax_rms,ax_peak,ax_ptp,ay_mean,ay_std,ay_rms,ay_peak,ay_ptp,az_mean,az_std,az_rms,az_peak,az_ptp,acc_mag_mean,acc_mag_std,acc_mag_rms,acc_mag_peak,acc_mag_ptp,gx_mean,gx_std,gx_rms,gx_peak,gy_mean,gy_std,gy_rms,gy_peak,gz_mean,gz_std,gz_rms,gz_peak,gyro_mag_mean,gyro_mag_std,gyro_mag_rms,gyro_mag_peak,sound_peak_mean,sound_peak_std,sound_peak_rms,sound_peak_peak,sound_volts_mean,sound_volts_std,sound_volts_rms,sound_volts_peak,ir_object_mean,ir_object_std,ir_object_min,ir_object_max,ir_object_range,temperature_slope,ir_ambient_mean,ir_ambient_std
0,4479,12482,660.05,32.45516137689042,660.8474407909893,750.0,266.0,51.34,27.85685552965374,58.41061547355926,108.0,162.0,-13630.135,55.58373660523373,13630.248334861693,13800.0,310.0,13646.269470870226,55.94942712185087,13646.384166144526,13817.946012342067,313.8057583310765,140.1375,38.74478795593028,145.39490190512183,279.0,335.8625,79.97173621817898,345.2522230196353,620.0,93.465,3.341971723399227,93.52472935004944,104.0,377.3825603122557,81.65814822886135,386.1161094800371,685.5545200784544,1643.235,1121.5667500309555,1989.5057778252367,5087.0,0.33099249999999997,0.2259088697766203,0.40073788503209923,1.025,33.144,0.16563212248836343,32.83,33.39,0.5600000000000023,0.00499812570286132,32.9823,0.016991468447429454
1,8476,16469,662.38,24.06731393404756,662.8170939256169,738.0,132.0,52.5,24.02353013193523,57.73543106273651,114.0,134.0,-13627.655,36.59714435581006,13627.70414083018,13754.0,232.0,13643.88659106436,36.58852517055277,13643.935650317324,13770.295712147941,233.20503504896624,140.105,2.5804989827550795,140.12876221532824,147.0,336.6075,4.148306130217489,336.6330606164522,349.0,93.175,2.2437412952477387,93.20201178086232,99.0,376.3322688379027,4.304176032243609,376.3568818289364,389.925633935498,1684.54,1100.3964255667138,2012.1002224044407,4724.0,0.33929250000000005,0.22167246546143254,0.4052876540187229,0.952,33.301449999999996,0.13412642357119597,32.99,33.47,0.4799999999999969,0.052545977730513525,32.9677,0.011777520961559934
2,12506,20454,662.13,26.653763336534674,662.666250838233,738.0,174.0,50.12,22.89073174889785,55.09990925582364,114.0,128.0,-13624.39,38.737164325747955,13624.445069066116,13754.0,232.0,13640.607197332058,38.746459100560855,13640.662227326062,13770.295712147941,233.20503504896624,139.505,2.1621690498201107,139.52175457612336,146.0,336.755,2.4217710461560977,336.76370796153196,342.0,93.04,2.050219500443794,93.06258646738763,99.0,376.2063282952382,2.3576578664862504,376.21371585842,382.425156076323,1603.5575,1033.7303355777801,1907.8771088568571,4724.0,0.3229825,0.2082468419778557,0.38429733605634064,0.952,33.40905,0.0293955353752906,33.35,33.47,0.11999999999999744,0.0,32.9525,0.01522333734763789
3,16493,24458,660.705,26.895593970016726,661.252198484058,726.0,162.0,48.05,22.194988173008788,52.928442259337274,110.0,114.0,-13623.76,40.49817773678218,13623.820192589155,13768.0,238.0,13639.900639386273,40.53489447340506,13639.960869811906,13783.587486572573,238.3466987534066,139.37,1.9945174855087133,139.38427099210298,145.0,336.9575,2.4157180609499944,336.9661592801271,344.0,93.05,2.15580611373101,93.07496978242862,98.0,376.33891726288874,2.477267324415535,376.34707053463296,383.49185128239685,1612.8975,997.4606418269094,1896.4087316557052,4500.0,0.32486,0.2009238547310896,0.3819743643230525,0.906,33.425599999999996,0.028260219390514464,33.39,33.47,0.0799999999999983,-0.00251098556183252,32.94305,0.011861597700142256
4,20478,28453,658.515,25.651993587243858,659.0144383850782,728.0,148.0,47.6,23.305793271201903,52.99924527764523,120.0,132.0,-13623.425,43.579116271443596,13623.494701066977,13768.0,312.0,13639.458390845575,43.492808512277634,13639.527734492862,13783.587486572573,309.03636232357167,139.695,9.977824161609584,140.0508836102079,189.0,336.52,19.14182854379382,337.0639701896363,423.0,93.02,2.5640982820477065,93.05533300139224,103.0,376.11309403727864,20.60595772356134,376.6771362851746,472.9429141027488,1529.9,1069.560926268345,1866.6961683680609,4500.0,0.3081575,0.21544115830952545,0.37599991688828865,0.906,33.4257,0.0474711491329209,33.33,33.57,0.240000000000002,0.022570532915360465,32.93729999999999,0.015707004806774845
5,24482,32455,658.545,26.500056132016024,659.077969590852,736.0,156.0,48.455,23.233229973466884,53.73704495038781,120.0,132.0,-13617.25,41.9668619270014,13617.314668465291,13738.0,282.0,13633.296554467031,41.89603749074383,13633.360928985927,13750.308360178691,275.75723592969007,139.735,10.032436144825443,140.09468226881418,189.0,336.1475,19.200279783117747,336.69540017648,423.0,92.995,2.576814894399673,93.03069385960742,103.0,375.7899029644829,20.663284587512468,376.3575726619567,472.9429141027488,1633.4125,1148.5976198581252,1996.8257028343762,5578.0,0.32900499999999994,0.2313770191159874,0.4022183673081079,1.124,33.457,0.063031738037278,33.33,33.57,0.240000000000002,0.015050796437977855,32.9313,0.013278177585800511
6,28477,36453,660.065,26.132083250288336,660.5820842257228,736.0,140.0,51.87,23.6098094020261,56.99052552837182,124.0,126.0,-13619.165,38.50964522038603,13619.21944496086,13702.0,230.0,13635.295080637834,38.509270749746804,13635.34946013486,13721.00302456056,232.39850074120295,139.6175,2.2882730934047184,139.63625066579237,147.0,336.2425,2.910960966759946,336.25510033306557,344.0,92.895,2.3073740485668988,92.92365145645107,99.0,375.75474445333856,2.9919927817764282,375.76665631745453,384.3448971952145,1779.0775,1137.5255761932344,2111.653661825253,5578.0,0.3583375,0.22912740690225164,0.42532943996389433,1.124,33.4972,0.023961636004245886,33.47,33.57,0.10000000000000142,-0.012537612838515726,32.9302,0.009997999799961552
7,32478,40473,659.475,25.727696651663162,659.9766586781687,716.0,120.0,53.06,24.423685225616545,58.4113002765732,124.0,134.0,-13623.52,43.438572720567144,13623.589251735388,13754.0,276.0,13639.621587327483,43.452554701190785,13639.690801847379,13769.741028792081,275.427707989129,139.7875,2.2354739430375834,139.8053736449354,147.0,336.195,2.5459723093545223,336.20464006316155,343.0,93.005,2.453563734652108,93.03735808802828,100.0,375.80370757183636,2.5740775554945086,375.8125230750034,381.6988341611748,1548.3775,997.9200519048358,1842.0959020908765,4697.0,0.31188000000000005,0.20099461584828585,0.3710363459285357,0.946,33.5091,0.03548506728188628,33.47,33.57,0.10000000000000142,-0.0025015634771727354,32.92005,0.014142047235107412
8,36477,44453,660.835,25.17881599678587,661.3145015799971,714.0,124.0,54.25,23.532902498416977,59.13425403266706,120.0,130.0,-13623.56,41.51778414125686,13623.623262553909,13754.0,276.0,13639.729327814737,41.57395760017252,13639.79268647438,13769.741028792081,275.427707989129,139.895,2.3321610150244774,139.91443813988604,148.0,336.175,2.474747461863533,336.1841087856474,341.0,93.23,2.4458331913685365,93.2620769659351,100.0,375.88152553908907,2.588195975420086,375.8904361645824,381.41971632310776,1410.91,885.8594876728475,1665.957400415749,4697.0,0.28420249999999997,0.1784300464993214,0.33557166522219956,0.946,33.51925,0.032824343100813676,33.47,33.57,0.10000000000000142,0.0025075225677035013,32.91535,0.01524393321948123
9,40497,48465,663.525,24.71567063625828,663.9851579666521,728.0,138.0,53.985,24.144352859416216,59.13822790716678,120.0,128.0,-13624.485,39.402217894428226,13624.541975787664,13712.0,188.0,13640.783132621636,39.410643043396774,13640.840064673435,13727.373528829177,185.62563573945226,139.58,2.414249365744972,139.6008775044054,148.0,336.2925,2.4201123424337143,336.30120799664104,342.0,93.115,2.129970657074881,93.13935795355259,99.0,375.8406104723519,2.383908507027,375.8481708083731,381.4459332592235,1467.99,936.4328966348844,1741.2355412177872,4428.0,0.2956975,0.18863174704632832,0.35074057007993814,0.892,33.51535,0.028042423219114453,33.47,33.57,0.10000000000000142,-0.0025100401606429627,32.916599999999995,0.014015705476357955
