timestamp_ms,ir_ambient_c,ir_object_c,sound_peak,sound_volts,ax,ay,az,gx,gy,gz,mx,my,mz
4466,31.75,30.91,0,0.0,4744,-154,-13230,89,339,91,0,0,0
4487,31.75,30.91,809,0.0673,4744,-154,-13230,89,339,91,0,0,0
4541,31.75,30.91,1004,0.0649,4784,-142,-13168,87,345,95,0,0,0
4562,31.75,30.91,1203,0.0735,4676,-106,-13146,94,346,96,0,0,0
4602,31.75,30.91,14,0.002,4676,-106,-13146,94,346,96,0,0,0
4646,31.75,30.91,726,0.1034,4706,-156,-13156,93,347,94,0,0,0
4703,31.75,30.91,1373,0.0785,4732,-192,-13158,93,350,95,0,0,0
4723,31.75,30.91,1218,0.0872,4730,-118,-13186,91,347,92,0,0,0
4765,31.75,30.91,391,0.0557,4730,-118,-13186,91,347,92,0,0,0
4785,31.75,30.91,960,0.0549,4740,-162,-13156,91,343,92,0,0,0
4868,31.75,30.91,825,0.1175,4754,-104,-13170,90,346,92,0,0,0
4888,31.75,30.91,814,0.059,4750,-84,-13160,92,348,95,0,0,0
4930,31.75,30.91,92,0.0131,4750,-84,-13160,92,348,95,0,0,0
4950,31.75,30.91,932,0.0637,4708,-130,-13170,86,345,94,0,0,0
4992,31.75,30.91,41,0.0058,4708,-130,-13170,86,345,94,0,0,0
5044,31.75,30.91,201,0.0286,4718,-124,-13170,86,346,94,0,0,0
5101,31.75,30.91,797,0.0647,4778,-134,-13168,91,346,94,0,0,0
5121,31.75,30.91,1236,0.075,4794,-112,-13128,88,343,94,0,0,0
5162,31.75,30.91,1108,0.1578,4794,-112,-13128,88,343,94,0,0,0
5182,31.75,30.91,1976,0.1061,4706,-134,-13108,92,345,94,0,0,0
5264,31.75,30.91,97,0.0138,4700,-98,-13136,90,349,91,0,0,0
5284,31.75,30.91,1559,0.0968,4726,-94,-13200,92,345,91,0,0,0
5327,31.75,30.91,291,0.0414,4726,-94,-13200,92,345,91,0,0,0
5347,31.75,30.91,1178,0.0911,4766,-168,-13126,92,348,92,0,0,0
5388,31.75,30.91,1015,0.1446,4766,-168,-13126,92,348,92,0,0,0
5432,31.75,30.91,306,0.0436,4710,-142,-13088,88,344,89,0,0,0
5490,31.75,30.91,2133,0.1302,4706,-154,-13206,91,348,91,0,0,0
5511,31.75,30.91,1009,0.0731,4746,-160,-13114,85,349,95,0,0,0
5557,31.75,30.91,423,0.031,4756,-116,-13132,90,347,90,0,0,0
5577,31.75,30.91,1239,0.0754,4778,-128,-13114,91,351,95,0,0,0
5659,31.75,30.91,228,0.0325,4742,-64,-13182,89,344,94,0,0,0
5679,31.75,30.91,754,0.0552,4734,-116,-13128,92,345,92,0,0,0
5720,31.75,30.91,28,0.004,4734,-116,-13128,92,345,92,0,0,0
5740,31.75,30.91,925,0.0554,4774,-124,-13208,92,353,87,0,0,0
5781,31.73,30.87,26,0.0037,4774,-124,-13208,92,353,87,0,0,0
5825,31.73,30.87,105,0.015,4748,-136,-13214,92,348,91,0,0,0
5882,31.73,30.87,1186,0.0685,4726,-138,-13222,92,340,90,0,0,0
5902,31.73,30.87,1275,0.0782,4776,-154,-13110,90,347,97,0,0,0
5944,31.73,30.87,451,0.0642,4776,-154,-13110,90,347,97,0,0,0
5964,31.73,30.87,700,0.0548,4714,-106,-13142,92,347,93,0,0,0
6046,31.73,30.87,288,0.041,4722,-134,-13176,88,339,94,0,0,0
6067,31.73,30.87,738,0.0578,4686,-128,-13194,92,345,94,0,0,0
6117,31.73,30.87,1113,0.0946,4734,-100,-13166,90,346,93,0,0,0
6137,31.73,30.87,1361,0.1037,4726,-126,-13116,96,347,94,0,0,0
6178,31.73,30.87,212,0.0302,4726,-126,-13116,96,347,94,0,0,0
6222,31.73,30.87,320,0.0456,4746,-102,-13162,88,344,90,0,0,0
6279,31.73,30.87,832,0.0594,4748,-130,-13170,91,344,95,0,0,0
6299,31.73,30.87,1258,0.073,4744,-88,-13100,92,344,94,0,0,0
6339,31.81,30.93,171,0.0244,4702,-146,-13210,93,347,94,0,0,0
6359,31.81,30.93,1284,0.0675,4688,-86,-13124,88,347,94,0,0,0
6441,31.81,30.93,480,0.0684,4732,-64,-13158,91,345,94,0,0,0
6462,31.81,30.93,825,0.0523,4710,-148,-13080,91,344,93,0,0,0
6503,31.81,30.93,302,0.043,4710,-148,-13080,91,344,93,0,0,0
6523,31.81,30.93,546,0.044,4726,-116,-13190,92,348,94,0,0,0
6565,31.81,30.93,589,0.0839,4726,-116,-13190,92,348,94,0,0,0
6619,31.81,30.93,726,0.1034,4742,-128,-13118,90,346,89,0,0,0
6677,31.81,30.93,1908,0.1199,4724,-114,-13130,90,344,89,0,0,0
