feature,score
audio_band_energy_1_50_500hz,36.27256652367734
acc_mag_spectral_centroid,8.348503162093662
audio_spectral_bandwidth,7.115020805190554
gyro_mag_spectral_energy,5.721458642422903
mag_mag_band_energy_2_10_25hz,5.496768778628267
temp_rate_of_rise,4.9033077793947815
gyro_mag_band_energy_2_50_200hz,4.221292960031603
audio_spectral_centroid,2.8704107371792222
acc_mag_spectral_bandwidth,2.3658037633451867
acc_x_max,1.8618327334193738
acc_x_variance,0.2018161525934661
audio_impulse_factor,0.17425444211494762
temp_current,0.1661819456232478
acc_z_kurtosis,0.15514284420571908
mag_drift,0.1493508541636141
acc_z_skewness,0.10246621690910818
audio_skewness,0.06497174068783226
audio_crest_factor,0.0465167614500986
mag_mag_skewness,0.04490763182585292
acc_x_rms,0.03776967923287052
acc_x_iqr,0.025539758612076573
acc_mag_autocorr_lag1,0.016323307917704047
acc_mag_iqr,0.010756947884811907
mag_mag_kurtosis,0.007667672713453266
audio_rms,0.0049906526279558374
acc_x_median,0.0038728483472645165
acc_y_median,0.0037811092087236117
acc_z_max,0.0035269154502992946
acc_z_peak,0.003474561059892508
acc_mag_min,0.0032052167259727974
acc_z_min,0.0030496573712755527
acc_x_mean,0.0027519357856276823
acc_y_mean,0.002691371486542694
audio_spectral_flatness,0.002226532899558348
acc_z_median,0.0017643625976688656
mag_mag_peak_to_peak,0.0014637737858383378
acc_z_mean,0.0014309885063125815
audio_median,0.001386257114730062
gyro_mag_spectral_bandwidth,0.0010862499341968165
gyro_mag_min,0.0008598979833680354
audio_zcr,0.0001792353427595284
gyro_mag_spectral_centroid,0.00015930908341636968
gyro_mag_skewness,0.00014665217827070602
gyro_mag_max,0.00010772425292918704
gyro_mag_kurtosis,8.922661330021202e-05
acc_z_iqr,6.287695877523793e-05
mag_mag_iqr,5.62289044598232e-05
acc_z_shape_factor,5.406528221189924e-05
acc_z_rms,3.5039009171495805e-05
gyro_mag_iqr,2.9504658680427412e-05
gyro_mag_spectral_entropy,1.9284678173927812e-05
gyro_mag_harmonic_ratio,1.4442890878902704e-05
gyro_mag_median,9.15571695173628e-06
mag_mag_max,6.790400379535529e-06
mag_mag_min,6.2143199408420175e-06
mag_mag_median,5.779252473396641e-08
mag_mag_mean,2.5321696031796987e-08
