Rank,Feature_Name,Modality,Feature_Type,Source_Signal,Importance_Score,Selection_Method,Why_Selected
1,audio_band_energy_1_50_500hz,acoustic,digital_audio_spectrum,INMP441 Mic,36.2726,Composite (Variance + Correlation Drop + MI/RF),High variance ratio / mutual info across baseline clusters (score=36.2726)
2,acc_mag_spectral_centroid,vibration,acceleration_magnitude,"Ax, Ay, Az",8.3485,Composite (Variance + Correlation Drop + MI/RF),High variance ratio / mutual info across baseline clusters (score=8.3485)
3,audio_spectral_bandwidth,acoustic,digital_audio_spectrum,INMP441 Mic,7.115,Composite (Variance + Correlation Drop + MI/RF),High variance ratio / mutual info across baseline clusters (score=7.1150)
4,gyro_mag_spectral_energy,vibration,gyroscope_rotational,"Gx, Gy, Gz",5.7215,Composite (Variance + Correlation Drop + MI/RF),High variance ratio / mutual info across baseline clusters (score=5.7215)
5,mag_mag_band_energy_2_10_25hz,magnetic,magnetic_magnitude,"Mx, My, Mz",5.4968,Composite (Variance + Correlation Drop + MI/RF),High variance ratio / mutual info across baseline clusters (score=5.4968)
6,temp_rate_of_rise,thermal,surface_temperature_derivative,MLX90614 IR Temp,4.9033,Composite (Variance + Correlation Drop + MI/RF),High variance ratio / mutual info across baseline clusters (score=4.9033)
7,gyro_mag_band_energy_2_50_200hz,vibration,gyroscope_rotational,"Gx, Gy, Gz",4.2213,Composite (Variance + Correlation Drop + MI/RF),High variance ratio / mutual info across baseline clusters (score=4.2213)
8,audio_spectral_centroid,acoustic,digital_audio_spectrum,INMP441 Mic,2.8704,Composite (Variance + Correlation Drop + MI/RF),High variance ratio / mutual info across baseline clusters (score=2.8704)
9,acc_mag_spectral_bandwidth,vibration,acceleration_magnitude,"Ax, Ay, Az",2.3658,Composite (Variance + Correlation Drop + MI/RF),High variance ratio / mutual info across baseline clusters (score=2.3658)
10,acc_x_max,vibration,raw_acceleration_axis,X,1.8618,Composite (Variance + Correlation Drop + MI/RF),High variance ratio / mutual info across baseline clusters (score=1.8618)
11,acc_x_variance,vibration,raw_acceleration_axis,X,0.2018,Composite (Variance + Correlation Drop + MI/RF),High variance ratio / mutual info across baseline clusters (score=0.2018)
12,audio_impulse_factor,acoustic,digital_audio_spectrum,INMP441 Mic,0.1743,Composite (Variance + Correlation Drop + MI/RF),High variance ratio / mutual info across baseline clusters (score=0.1743)
13,temp_current,thermal,surface_temperature_derivative,MLX90614 IR Temp,0.1662,Composite (Variance + Correlation Drop + MI/RF),High variance ratio / mutual info across baseline clusters (score=0.1662)
14,acc_z_kurtosis,vibration,raw_acceleration_axis,Z,0.1551,Composite (Variance + Correlation Drop + MI/RF),High variance ratio / mutual info across baseline clusters (score=0.1551)
15,mag_drift,magnetic,magnetic_magnitude,"Mx, My, Mz",0.1494,Composite (Variance + Correlation Drop + MI/RF),High variance ratio / mutual info across baseline clusters (score=0.1494)
16,acc_z_skewness,vibration,raw_acceleration_axis,Z,0.1025,Composite (Variance + Correlation Drop + MI/RF),High variance ratio / mutual info across baseline clusters (score=0.1025)
17,audio_skewness,acoustic,digital_audio_spectrum,INMP441 Mic,0.065,Composite (Variance + Correlation Drop + MI/RF),High variance ratio / mutual info across baseline clusters (score=0.0650)
18,audio_crest_factor,acoustic,digital_audio_spectrum,INMP441 Mic,0.0465,Composite (Variance + Correlation Drop + MI/RF),High variance ratio / mutual info across baseline clusters (score=0.0465)
19,mag_mag_skewness,magnetic,magnetic_magnitude,"Mx, My, Mz",0.0449,Composite (Variance + Correlation Drop + MI/RF),High variance ratio / mutual info across baseline clusters (score=0.0449)
20,acc_x_rms,vibration,raw_acceleration_axis,X,0.0378,Composite (Variance + Correlation Drop + MI/RF),High variance ratio / mutual info across baseline clusters (score=0.0378)
21,acc_x_iqr,vibration,raw_acceleration_axis,X,0.0255,Composite (Variance + Correlation Drop + MI/RF),High variance ratio / mutual info across baseline clusters (score=0.0255)
22,acc_mag_autocorr_lag1,vibration,acceleration_magnitude,"Ax, Ay, Az",0.0163,Composite (Variance + Correlation Drop + MI/RF),High variance ratio / mutual info across baseline clusters (score=0.0163)
23,acc_mag_iqr,vibration,acceleration_magnitude,"Ax, Ay, Az",0.0108,Composite (Variance + Correlation Drop + MI/RF),High variance ratio / mutual info across baseline clusters (score=0.0108)
24,mag_mag_kurtosis,magnetic,magnetic_magnitude,"Mx, My, Mz",0.0077,Composite (Variance + Correlation Drop + MI/RF),High variance ratio / mutual info across baseline clusters (score=0.0077)
25,audio_rms,acoustic,digital_audio_spectrum,INMP441 Mic,0.005,Composite (Variance + Correlation Drop + MI/RF),High variance ratio / mutual info across baseline clusters (score=0.0050)
26,acc_x_median,vibration,raw_acceleration_axis,X,0.0039,Composite (Variance + Correlation Drop + MI/RF),High variance ratio / mutual info across baseline clusters (score=0.0039)
27,acc_y_median,vibration,raw_acceleration_axis,Y,0.0038,Composite (Variance + Correlation Drop + MI/RF),High variance ratio / mutual info across baseline clusters (score=0.0038)
28,acc_z_max,vibration,raw_acceleration_axis,Z,0.0035,Composite (Variance + Correlation Drop + MI/RF),High variance ratio / mutual info across baseline clusters (score=0.0035)
29,acc_z_peak,vibration,raw_acceleration_axis,Z,0.0035,Composite (Variance + Correlation Drop + MI/RF),High variance ratio / mutual info across baseline clusters (score=0.0035)
30,acc_mag_min,vibration,acceleration_magnitude,"Ax, Ay, Az",0.0032,Composite (Variance + Correlation Drop + MI/RF),High variance ratio / mutual info across baseline clusters (score=0.0032)
