channel,min,max,mean,std,rms,peak_to_peak,outliers_count,is_constant
ax,-3000.0,8160.0,1069.2715,162.356,1081.5272,11160.0,484,False
ay,-2852.0,5552.0,-437.498,165.4598,467.7407,8404.0,417,False
az,-32768.0,2704.0,-13543.7012,518.9427,13553.6395,35472.0,708,False
acc_mag,3795.0304,33033.8319,13595.869,491.9068,13604.7649,29238.8014,709,False
gx,-3622.0,3161.0,101.0498,124.7468,160.5391,6783.0,746,False
gy,-7216.0,3085.0,335.1,145.1789,365.1971,10301.0,988,False
gz,-4077.0,8830.0,118.2878,393.7675,411.1506,12907.0,326,False
gyro_mag,95.7131,9100.2522,405.1476,405.021,572.8757,9004.5391,986,False
sound_peak,0.0,12239.0,7173.5756,3345.5982,7915.3784,12239.0,0,False
sound_volts,0.0,2.465,1.445,0.6739,1.5944,2.465,0,False
ir_ambient_c,25.73,26.39,26.0326,0.1846,26.0333,0.66,0,False
ir_object_c,26.03,26.83,26.4659,0.1822,26.4665,0.8,0,False
